MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE
3009542,Hematocrit [Volume Fraction] of Blood,8583,femtoliter,fL
3009542,Hematocrit [Volume Fraction] of Blood,8713,gram per deciliter,g/dL
3009682,Cortisol [Mass/volume] in Serum or Plasma,8837,microgram per deciliter,ug/dL
3009682,Cortisol [Mass/volume] in Serum or Plasma,8859,microgram per milliliter,ug/mL
3009744,MCHC [Mass/volume] by Automated count,8554,percent,%
3009744,MCHC [Mass/volume] by Automated count,8564,picogram,pg
3009744,MCHC [Mass/volume] by Automated count,8713,gram per deciliter,g/dL
3009744,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,8713,gram per deciliter,g/dL
3009797,Basophils/100 leukocytes in Blood by Manual count,8554,percent,%
3009797,Basophils/Leukocytes in Blood by Manual count,8554,percent,%
3009894,Triiodothyronine (T3)/Triiodothyronine (T3) uptake index [Ratio] in Serum or Plasma,8554,percent,%
3009932,Eosinophils [#/volume] in Blood by Manual count,8848,thousand per microliter,10*3/uL
3009932,Eosinophils [#/volume] in Blood by Manual count,8961,thousand per cubic millimeter,10*3/mm3
3010140,"Carbon dioxide, total [Moles/volume] in Venous blood",8753,millimole per liter,mmol/L
3010156,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,8751,milligram per liter,mg/L
3010156,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,8840,milligram per deciliter,mg/dL
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,8554,percent,%
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,8817,nanogram per deciliter,ng/dL
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,8820,picogram per deciliter,pg/dL
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,8845,picogram per milliliter,pg/mL
3010457,Eosinophils/100 leukocytes in Blood by Automated count,8554,percent,%
3010457,Eosinophils/Leukocytes in Blood by Automated count,8554,percent,%
3010813,Leukocytes [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3011367,Oxygen saturation Calculated from oxygen partial pressure in Blood,8554,percent,%
3011617,Mitochondria Ab [Units/volume] in Serum,8510,unit,[U]
3011948,Monocytes/100 leukocytes in Blood by Automated count,8554,percent,%
3011948,Monocytes/Leukocytes in Blood by Automated count,8554,percent,%
3012030,MCH [Entitic mass] by Automated count,8564,picogram,pg
3012030,MCH [Entitic mass] by Automated count,8704,picogram per cell,pg/{cell}
3012030,MCH [Entitic mass] by Automated count,8713,gram per deciliter,g/dL
3012718,DNA double strand Ab [Presence] in Serum,8876,millimeter mercury column,mm[Hg]
3012888,Diastolic blood pressure,8876,millimeter mercury column,mm[Hg]
3013115,Eosinophils [#/volume] in Blood,8784,cells per microliter,{cells}/uL
3013115,Eosinophils [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3013115,Eosinophils [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3013290,Carbon dioxide [Partial pressure] in Blood,8876,millimeter mercury column,mm[Hg]
3013429,Basophils [#/volume] in Blood by Automated count,8784,cells per microliter,{cells}/uL
3013429,Basophils [#/volume] in Blood by Automated count,8848,thousand per microliter,10*3/uL
3013429,Basophils [#/volume] in Blood by Automated count,8961,thousand per cubic millimeter,10*3/mm3
3013429,Basophils [#/volume] in Blood by Automated count,9444,billion per liter,10*9/L
3013466,aPTT in Blood by Coagulation assay,8555,second,s
3013502,Oxygen saturation in Blood,8554,percent,%
3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3013650,Neutrophils [#/volume] in Blood by Automated count,8784,cells per microliter,{cells}/uL
3013650,Neutrophils [#/volume] in Blood by Automated count,8848,thousand per microliter,10*3/uL
3013650,Neutrophils [#/volume] in Blood by Automated count,8961,thousand per cubic millimeter,10*3/mm3
3013650,Neutrophils [#/volume] in Blood by Automated count,9444,billion per liter,10*9/L
3013650,Neutrophils [#/volume] in Blood by Automated count,9665,microliter,uL
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,8596,calculated,{calc}
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,8817,nanogram per deciliter,ng/dL
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,9557,milliequivalent per liter,10*-3.eq/L
3013707,Erythrocyte sedimentation rate by Westergren method,8588,millimeter,mm
3013707,Erythrocyte sedimentation rate by Westergren method,8752,millimeter per hour,mm/h
3013707,Erythrocyte sedimentation rate [Velocity] in Red Blood Cells by Westergren method,8752,millimeter per hour,mm/h
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8645,unit per liter,[U]/L
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8725,nanogram per liter,ng/L
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,9254,per liter,/L
3013762,Body weight Measured,9529,kilogram,kg
3013826,Glucose [Moles/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3013869,Basophils/100 leukocytes in Blood by Automated count,8554,percent,%
3013869,Basophils/Leukocytes in Blood by Automated count,8554,percent,%
3014053,Glucose [Mass/volume] in Blood by Test strip manual,8840,milligram per deciliter,mg/dL
3014094,"Carbon dioxide, total [Moles/volume] in Blood",8753,millimole per liter,mmol/L
3014300,Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum,8611,beta-2 GPI IgM Ab unit,[GPI'IgM'U]
3014300,Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum,8763,unit per milliliter,[U]/mL
3014576,Chloride [Moles/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3014576,Chloride [Moles/volume] in Serum or Plasma,9551,milliequivalent,10*-3.eq
3014576,Chloride [Moles/volume] in Serum or Plasma,9557,milliequivalent per liter,10*-3.eq/L
3015182,Erythrocyte distribution width [Entitic volume] by Automated count,8554,percent,%
3015182,Erythrocyte distribution width [Entitic volume] by Automated count,8583,femtoliter,fL
