ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
21601387	784051	6	8
21601387	784074	6	8
21601387	784084	6	8
21601387	784087	6	8
21601387	784144	6	8
21601387	784160	6	8
21601387	784164	5	5
21601387	784166	6	7
21601387	784209	6	8
21601387	784216	5	5
21601387	784329	5	5
21601387	784330	6	6
21601387	784342	6	6
21601387	784397	6	8
21601387	784398	6	8
21601387	784417	6	8
21601387	784465	6	8
21601387	784466	6	7
21601387	784467	6	8
21601387	784481	6	6
21601387	784496	6	7
21601387	784497	6	8
21601387	784498	5	6
21601387	784515	6	8
21601387	784540	6	7
21601387	784544	6	8
21601387	784549	6	7
21601387	784550	6	8
21601387	784620	6	6
21601387	784621	6	7
21601387	784627	6	7
21601387	784646	6	7
21601387	784670	6	8
21601387	784711	5	5
21601387	784717	6	7
21601387	784727	6	8
21601387	784729	6	6
21601387	784733	5	5
21601387	784738	6	8
21601387	784744	6	7
21601387	784749	5	6
21601387	784754	6	8
21601387	784778	6	8
21601387	784789	6	7
21601387	784792	6	8
21601387	784801	6	7
21601387	784802	6	8
21601387	784804	5	6
21601387	784805	6	7
21601387	784832	6	7
21601387	784835	6	8
21601387	784859	5	6
21601387	784860	6	7
21601387	790202	6	7
21601387	792385	4	5
21601387	792649	3	3
21601387	792650	4	4
21601387	792656	4	4
21601387	792662	5	6
21601387	792665	4	4
21601387	792667	4	4
21601387	792672	5	6
21601387	792740	4	5
21601387	792764	3	3
21601387	792765	4	4
21601387	792769	5	6
21601387	792844	3	3
21601387	792963	4	4
21601387	792965	4	4
21601387	793167	5	6
21601387	793267	4	4
21601387	793802	4	5
21601387	793806	4	4
21601387	793807	5	6
21601387	793811	5	6
21601387	793813	5	6
21601387	793850	4	5
21601387	793854	4	5
21601387	793991	4	4
21601387	794047	4	4
21601387	794050	5	6
21601387	794071	4	5
21601387	841888	6	7
21601387	842159	6	7
21601387	903755	4	4
21601387	903759	4	4
21601387	904351	3	3
21601387	955640	5	6
21601387	955641	5	6
21601387	955692	4	4
21601387	963929	4	4
21601387	963937	4	4
21601387	963938	5	6
21601387	964068	5	6
21601387	964069	4	5
21601387	964071	4	4
21601387	964081	4	4
21601387	994682	6	7
21601387	994961	6	7
21601387	994995	4	4
21601387	994997	5	5
21601387	994998	5	5
21601387	994999	6	6
21601387	1118088	5	6
21601387	1118091	5	6
21601387	1145498	5	6
21601387	1145500	4	4
21601387	1145571	3	3
21601387	1145572	4	4
21601387	1145579	4	5
21601387	1145585	4	4
21601387	1145662	4	4
21601387	1145666	5	6
21601387	1145670	5	6
21601387	1145754	4	4
21601387	1145796	4	4
21601387	1145807	4	4
21601387	1146063	5	6
21601387	1146140	4	4
21601387	1146145	4	4
21601387	1146177	4	5
21601387	1146566	4	5
21601387	1146573	4	4
21601387	1146585	5	6
21601387	1146720	6	7
21601387	1146725	6	8
21601387	1146753	5	6
21601387	1146759	5	6
21601387	1146763	5	6
21601387	1146766	5	6
21601387	1146771	5	6
21601387	1146804	5	6
21601387	1201215	4	5
21601387	1201221	5	6
21601387	1201222	4	4
21601387	1201223	5	6
21601387	1201232	4	4
21601387	1201343	4	4
21601387	1201344	5	6
21601387	1201349	5	6
21601387	1201505	5	6
21601387	1201591	5	6
21601387	1201617	5	6
21601387	1235148	5	5
21601387	1235345	4	4
21601387	1300252	4	4
21601387	1301270	5	6
21601387	1301271	5	6
21601387	1301307	3	3
21601387	1301311	4	5
21601387	1301361	5	6
21601387	1301363	4	4
