concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37167591,Primary adenoid cystic carcinoma of cervix uteri,Condition,SNOMED,Disorder,S,1268537000,20230331,20991231,
37167592,Primary clear cell adenocarcinoma of ovary,Condition,SNOMED,Disorder,S,1268538005,20230331,20991231,
37167593,Primary metaplastic carcinoma of breast,Condition,SNOMED,Disorder,S,1268539002,20230331,20991231,
37167595,Primary squamous cell carcinoma of liver and intrahepatic biliary tract,Condition,SNOMED,Disorder,S,1268541001,20230331,20991231,
37167596,Primary invasive intraductal papillary-mucinous carcinoma of pancreas,Condition,SNOMED,Disorder,S,1268542008,20230331,20991231,
37167597,Primary clear cell sarcoma of kidney,Condition,SNOMED,Disorder,S,1268543003,20230331,20991231,
37167598,Primary carcinoma of gallbladder and extrahepatic biliary tract,Condition,SNOMED,Disorder,S,1268544009,20230331,20991231,
37167599,Primary transitional cell carcinoma of corpus uteri,Condition,SNOMED,Disorder,S,1268545005,20230331,20991231,
37167600,Primary mucinous cystadenocarcinoma of pancreas,Condition,SNOMED,Disorder,S,1268546006,20230331,20991231,
37167601,Primary epithelioid sarcoma,Condition,SNOMED,Disorder,S,1268547002,20230331,20991231,
37167602,Primary salivary gland type carcinoma of esophagus,Condition,SNOMED,Disorder,S,1268548007,20230331,20991231,
37167609,Primary serous cystadenocarcinoma of pancreas,Condition,SNOMED,Disorder,S,1268561007,20230331,20991231,
37167610,Primary acinar cell carcinoma of pancreas,Condition,SNOMED,Disorder,S,1268563005,20230331,20991231,
37167620,Primary glassy cell carcinoma of cervix uteri,Condition,SNOMED,Disorder,S,1268631009,20230331,20991231,
37167623,Primary squamous cell carcinoma of gallbladder and extrahepatic biliary tract,Condition,SNOMED,Disorder,S,1268632002,20230331,20991231,
37167624,Primary squamous cell carcinoma of rectum,Condition,SNOMED,Disorder,S,1268633007,20230331,20991231,
37167625,Primary squamous cell carcinoma of stomach,Condition,SNOMED,Disorder,S,1268634001,20230331,20991231,
37167626,Primary squamous cell carcinoma of colon,Condition,SNOMED,Disorder,S,1268635000,20230331,20991231,
37167627,Primary squamous cell carcinoma of small intestine,Condition,SNOMED,Disorder,S,1268636004,20230331,20991231,
37167628,Primary MiT family translocation renal cell carcinoma,Condition,SNOMED,Disorder,S,1268637008,20230331,20991231,
37167629,Primary adenosarcoma of cervix uteri,Condition,SNOMED,Disorder,S,1268638003,20230331,20991231,
37167630,Primary carcinosarcoma of cervix uteri,Condition,SNOMED,Disorder,S,1268639006,20230331,20991231,
37167631,Primary lymphoepithelial carcinoma,Condition,SNOMED,Disorder,S,1268640008,20230331,20991231,
37167632,Primary mucinous tubular and spindle cell renal carcinoma,Condition,SNOMED,Disorder,S,1268641007,20230331,20991231,
37167633,Primary renal medullary carcinoma,Condition,SNOMED,Disorder,S,1268642000,20230331,20991231,
37167649,Primary adenosarcoma of corpus uteri,Condition,SNOMED,Disorder,S,1268697005,20230331,20991231,
37167650,Primary solid pseudopapillary carcinoma of pancreas,Condition,SNOMED,Disorder,S,1268698000,20230331,20991231,
37167651,Primary pilomatrix carcinoma of skin,Condition,SNOMED,Disorder,S,1268699008,20230331,20991231,
37167652,Primary spermatocytic seminoma of testis,Condition,SNOMED,Disorder,S,1268700009,20230331,20991231,
37167653,Primary gliosarcoma of central nervous system,Condition,SNOMED,Disorder,S,1268701008,20230331,20991231,
37167654,Primary choroid plexus carcinoma,Condition,SNOMED,Disorder,S,1268702001,20230331,20991231,
37167655,Primary peripheral neuroectodermal tumor,Condition,SNOMED,Disorder,S,1268703006,20230331,20991231,
37167656,Primary malignant mesothelioma of pleura,Condition,SNOMED,Disorder,S,1268704000,20230331,20991231,
37167657,Primary malignant sex cord tumor of ovary,Condition,SNOMED,Disorder,S,1268705004,20230331,20991231,
37167658,Primary malignant granulosa cell tumor of ovary,Condition,SNOMED,Disorder,S,1268706003,20230331,20991231,
37167659,Primary malignant dysgerminoma of ovary,Condition,SNOMED,Disorder,S,1268707007,20230331,20991231,
37167660,Primary adamantinoma of long bone,Condition,SNOMED,Disorder,S,1268710000,20230331,20991231,
37167661,Primary hepatoblastoma of liver,Condition,SNOMED,Disorder,S,1268711001,20230331,20991231,
37167662,Primary malignant mesothelioma of peritoneum,Condition,SNOMED,Disorder,S,1268712008,20230331,20991231,
37167663,Primary nephroblastoma,Condition,SNOMED,Disorder,S,1268714009,20230331,20991231,
37167664,Primary malignant fibrous histiocytoma,Condition,SNOMED,Disorder,S,1268715005,20230331,20991231,
37167665,Primary medulloblastoma,Condition,SNOMED,Disorder,S,1268716006,20230331,20991231,
37167666,Primary oligodendroglioma,Condition,SNOMED,Disorder,S,1268717002,20230331,20991231,
37167667,Primary malignant thymoma,Condition,SNOMED,Disorder,S,1268718007,20230331,20991231,
37167668,Primary anaplastic astrocytoma of central nervous system,Condition,SNOMED,Disorder,S,1268719004,20230331,20991231,
37167669,Primary malignant peripheral nerve sheath tumor with perineurial differentiation,Condition,SNOMED,Disorder,S,1268720005,20230331,20991231,
37167670,Primary malignant seminoma of testis,Condition,SNOMED,Disorder,S,1268721009,20230331,20991231,
37167720,Primary malignant melanoma of skin,Condition,SNOMED,Disorder,S,1268881002,20230331,20991231,
37167721,Primary ependymoblastoma,Condition,SNOMED,Disorder,S,1268885006,20230331,20991231,
37167723,Primary pineal parenchymal tumor of intermediate differentiation,Condition,SNOMED,Disorder,S,1268888008,20230331,20991231,
37167733,Primary theca steroid producing cell malignant neoplasm of ovary,Condition,SNOMED,Disorder,S,1268897007,20230331,20991231,
37167734,Primary mixed oligoastrocytoma,Condition,SNOMED,Disorder,S,1268898002,20230331,20991231,
37167735,Primary pleuropulmonary blastoma,Condition,SNOMED,Disorder,S,1268899005,20230331,20991231,
37167736,Primary linitis plastica of stomach,Condition,SNOMED,Disorder,S,1268900000,20230331,20991231,
37167737,Primary retinoblastoma of retina,Condition,SNOMED,Disorder,S,1268901001,20230331,20991231,
37167738,Primary pulmonary blastoma,Condition,SNOMED,Disorder,S,1268902008,20230331,20991231,
37167739,Primary epithelioid hemangioendothelioma,Condition,SNOMED,Disorder,S,1268904009,20230331,20991231,
37167740,Primary malignant peripheral nerve sheath tumor,Condition,SNOMED,Disorder,S,1268905005,20230331,20991231,
37167742,Primary Paget disease of nipple,Condition,SNOMED,Disorder,S,1268908007,20230331,20991231,
37167743,Primary carcinofibroma of corpus uteri,Condition,SNOMED,Disorder,S,1268909004,20230331,20991231,
37167745,Primary pancreatoblastoma,Condition,SNOMED,Disorder,S,1268911008,20230331,20991231,
37167774,Primary malignant Triton tumor,Condition,SNOMED,Disorder,S,1268955002,20230331,20991231,
37167775,Primary extramammary Paget disease of skin,Condition,SNOMED,Disorder,S,1268956001,20230331,20991231,
37167776,Primary pineoblastoma,Condition,SNOMED,Disorder,S,1268957005,20230331,20991231,
37167777,Primary primitive neuroectodermal tumor of corpus uteri,Condition,SNOMED,Disorder,S,1268958000,20230331,20991231,
37167778,Primary primitive neuroectodermal tumor of cervix uteri,Condition,SNOMED,Disorder,S,1268959008,20230331,20991231,
37167779,Primary astroblastoma of central nervous system,Condition,SNOMED,Disorder,S,1268960003,20230331,20991231,
37167780,Primary diffuse astrocytoma of brain,Condition,SNOMED,Disorder,S,1268961004,20230331,20991231,
37167781,Primary polyembryoma,Condition,SNOMED,Disorder,S,1268962006,20230331,20991231,
37167782,Primary anaplastic oligodendroglioma of central nervous system,Condition,SNOMED,Disorder,S,1268964007,20230331,20991231,
37167784,Primary anaplastic ependymoma of central nervous system,Condition,SNOMED,Disorder,S,1268965008,20230331,20991231,
37167785,Primary gliomatosis cerebri,Condition,SNOMED,Disorder,S,1268966009,20230331,20991231,
37167833,Primary protoplasmic astrocytoma of brain,Condition,SNOMED,Disorder,S,1269042005,20230331,20991231,
37167834,Primary malignant rhabdoid tumor,Condition,SNOMED,Disorder,S,1269043000,20230331,20991231,
37167835,Primary desmoplastic small round cell tumor,Condition,SNOMED,Disorder,S,1269044006,20230331,20991231,
37167836,Primary mixed germ cell tumor,Condition,SNOMED,Disorder,S,1269045007,20230331,20991231,
37167837,Primary chordoma,Condition,SNOMED,Disorder,S,1269046008,20230331,20991231,
37167838,Primary papillary tumor of pineal region,Condition,SNOMED,Disorder,S,1269047004,20230331,20991231,
37167839,Primary diffuse intrinsic pontine glioma,Condition,SNOMED,Disorder,S,1269048009,20230331,20991231,
37167840,Primary giant cell glioblastoma of central nervous system,Condition,SNOMED,Disorder,S,1269049001,20230331,20991231,
37167841,Primary gemistocytic astrocytoma of central nervous system,Condition,SNOMED,Disorder,S,1269050001,20230331,20991231,
37167842,Primary desmoplastic nodular medulloblastoma of brain,Condition,SNOMED,Disorder,S,1269051002,20230331,20991231,
37167843,Primary large cell medulloblastoma of brain,Condition,SNOMED,Disorder,S,1269052009,20230331,20991231,
37167895,Metastatic rhabdomyosarcoma,Condition,SNOMED,Disorder,S,1269121005,20230331,20991231,
37167985,Malignancy diagnosed during pregnancy,Condition,SNOMED,Disorder,S,1269273000,20230430,20991231,
37168000,Primary carcinosarcoma of corpus uteri,Condition,SNOMED,Disorder,S,1269347008,20230430,20991231,
37168038,Primary medulloepithelioma of central nervous system,Condition,SNOMED,Disorder,S,1269412004,20230430,20991231,
37168039,Primary pilomyxoid astrocytoma,Condition,SNOMED,Disorder,S,1269413009,20230430,20991231,
37168040,Primary fibrillary astrocytoma of central nervous system,Condition,SNOMED,Disorder,S,1269414003,20230430,20991231,
37168060,Malignant peripheral nerve sheath neoplasm of peripheral nerve of lumbar spine,Condition,SNOMED,Disorder,S,1269458003,20230430,20991231,
37168354,Undifferentiated carcinoma with osteoclast-like giant cells of pancreas,Condition,SNOMED,Disorder,S,1279841001,20230430,20991231,
37168383,Metastatic embryonal rhabdomyosarcoma,Condition,SNOMED,Disorder,S,1279882001,20230430,20991231,
37168468,Malignant neoplasm of breast in partial remission,Condition,SNOMED,Disorder,S,1281812003,20230531,20991231,
37168510,Primary malignant Sertoli-Leydig cell tumor of ovary,Condition,SNOMED,Disorder,S,1284849005,20230531,20991231,
37168635,Nevoid melanoma,Condition,SNOMED,Disorder,S,1285321001,20230531,20991231,
37168784,Primary Ewing's sarcoma of scapula,Condition,SNOMED,Disorder,S,1285706005,20230731,20991231,
37168806,Primary squamous cell carcinoma of skin of foot,Condition,SNOMED,Disorder,S,1285737005,20230731,20991231,
37168807,Primary malignant neoplasm of bone of foot,Condition,SNOMED,Disorder,S,1285738000,20230731,20991231,
37168852,Malignant neoplasm of colorectum expressing human epidermal growth factor 2,Condition,SNOMED,Disorder,S,1286879001,20230731,20991231,
37168858,Metastatic collecting duct renal cell carcinoma,Condition,SNOMED,Disorder,S,1286896000,20230731,20991231,
37168860,Metastatic cystic renal cell carcinoma,Condition,SNOMED,Disorder,S,1286898004,20230731,20991231,
37168885,Malignant melanoma of nail bed,Condition,SNOMED,Disorder,S,1286973001,20230731,20991231,
37168996,Keratinocytic epidermal carcinoma of skin,Condition,SNOMED,Disorder,S,1418361000168101,20230731,20991231,
37169044,Primary basal cell carcinoma of skin of right foot,Condition,SNOMED,Disorder,S,145194251000119106,20220430,20991231,
37169046,Malignant carcinoid tumor of left lung,Condition,SNOMED,Disorder,S,145298771000119104,20220430,20991231,
