TEST_NAME,RESULT_UOM_NM,count
"TIBC (TIBC, TOTAL IRON BINDING CAP)",ug/dl,4
DDTZ (D-DIMER QUANTITATIVE),NG/ML,4
RRATE2 (RESPIRATORY RATE 2),RR,4
PGLU (RAPID GLUCOSE),MG/DL,4
B12 (VITAMIN B12 LEVEL | CDR MRMC LAB LRR),pg/mL,4
ROIGG (SS-A/RO IGG),U,4
T4 (T4 THYROXINE),ug/dL,4
UEOS (URINE EOSINOPHILS),/hpf,4
ACLIGM (ANTICARDIOLIPIN IGM),CU,3
AEOS (ABSOLUTE EOSINOPHIL COUNT | CDR SSHCC HEM LRR),K/mm3,3
PLT,K/ul,3
PLT (PLATELET COUNT | CDR CRMA HEM LRR),K/uL,3
EO (EOSINOPHILS | CDR SSHCC HEM LRR),%,3
EOS (EOSINOPHIL % | CDR SSHCC HEM LRR),%,3
TBILI (TBILI | CDR CRMA LAB LLR),mg/dL,3
PLTPOST (POST PLT CT.),K/uL,3
PLTYPPCELLBM (POLYTYPIC PC PER ALL PLASMA CELLS),%,3
POLY (NEUTROPHILS | CDR SSHCC HEM LRR),%,3
CA (CALCIUM | CDR CRMA LAB LLR),mg/dL,3
CA125,U/mL,3
TIBC,ug/dL,3
TIBC (TOTAL IRON BINDING CAPACITY | CDR MRMC LAB LRR),mcg/dL,3
VITD3125DOH (25 OH VITAMIN D TOTAL),ng/mL,3
"VITDDOH (VITAMIN D 1,25-DIHYDROXY | CDR MRMC LAB LRR)",pg/mL,3
"VITDDOH (VITAMIN D, 1,25 (OH)2, TOTAL)",pg/mL,3
"13BDGV (1,3 BETA D GLUCAN)",pg/mL,3
VALP (TOTAL VALPROIC ACID),mcg/mL,3
A1C (HEMOGLOBIN A1C),%,3
5HIAATU (TIMED URINE 5HIAA),mg/24 h,3
"VITD2125HDOH (VITAMIN D2, 1,25 (OH)2)",pg/mL,3
VITD3 (25 OH VITAMIN D3),ng/mL,3
"VITD3125DOH (1, 25 (OH) 2 VITAMIN D3)",pg/mL,3
RETIC,%,3
A1AT (ALPHA-1-ANTITRYPSIN),mg/dL,3
VITD2 (25 OH VITAMIN D2),ng/mL,3
AEOSN (EOSINOPHILS (#)),K/uL,3
ANEU (NEUTROPHILS (#)),K/uL,3
IMMGRAN (IMMATURE GRANULOCYTES  (#)),K/ul,3
TRF (TRANSFERRIN | CDR MRMC LAB LRR),mg/dL,3
NONHDL (NON HDL CHOLESTEROL),mg/dL,3
EOSP (EOSINOPHILS (%)),%,3
MYELO (MYELOCYTES | CDR SSHCC HEM LRR),%,3
NEUT (NEUTROPHILS (%)),%,3
AMONOS (ABSOLUTE MONOCYTE | CDR SSHCC HEM LRR),K/mm3,3
MONO (MONOCYTES | CDR SSHCC HEM LRR),%,3
MONOS (MONOCYTE% | CDR SSHCC HEM LRR),%,3
ALYMPHS (LYMPHOCYTE# | CDR SSHCC HEM LRR),K/mm3,3
TROPI (TROPONIN I),ng/mL,3
FOLATE (FOLATE | CDR EHS LAB LRR),ng/mL,3
SMTYPPCELLBM (MONOTYPIC PLASMA CELLS S-PHASE),%,3
SODIUM | CDR CRMA LAB LLR,mEq/L,3
ABNPROT (PEP ABNORMAL PROTEIN BAND 1 | CDR MRMC LAB LRR),g/dL,3
ACL (ANTICARDIOLPIN),GPL,3
CD426PCT (CD4+CD26- (PCT)),% lymphs,3
CD7 (CD7+ (PCT)),% lymphs,3
T3 (TRIIODOTHYRONINE T3 TOTAL),ng/mL,3
DFIBC (TOTAL IRON BINDING CAPACITY),UG/DL,3
CEA (CARCINOEMBRYONIC ANTIGEN | CDR MRMC LAB LRR),ng/mL,3
CER (CERULOPLASMIN),mg/dL,3
DLDL (DIRECT LDL),mg/dL,3
ANEUTS (ABSOLUTE NEUTROPHIL COUNT | CDR SSHCC HEM LRR),K/mm3,3
POLYS (NEUTROPHILS% | CDR SSHCC HEM LRR),%,3
TRIG (TRIGLYCERIDES),MG/DL,3
"TRIG (TRIGLYCERIDES,S)",mg/dL,3
CD425 (CD4+CD25+ (PCT)),% lymphs,3
UASRBC (URINE RBC | CDR EHS HEM LRR),/HPF,3
LPANMOLL (LIPOPROTEIN(A)),nmol/L,3
UASWBC (URINE WBC | CDR EHS HEM LRR),/HPF,3
UAUROBI (URINE UROBILINOGEN | CDR EHS HEM LRR),mg/dL,3
UAUROBI (UROBILINOGEN URINE),mg/dL,3
BASOS (BASOPHIL % | CDR SSHCC HEM LRR),%,3
UAWBC (URINE LEUKO ESTERASE | CDR EHS HEM LRR),WBC/uL,3
ALT (ALT (SGPT) | CDR CRMA LAB LLR),U/L,3
ALKP (ALP | CDR CRMA LAB LLR),U/L,3
UAGLUC (URINE GLUCOSE | CDR EHS HEM LRR),mg/dL,3
UAKET (URINE KETONE | CDR EHS HEM LRR),mg/dL,3
UAALB (URINE PROTEIN | CDR EHS HEM LRR),mg/dL,3
UABILI (URINE BILIRUBIN | CDR EHS HEM LRR),mg/dL,3
"TUTP (URN PROTEIN, MG/24HR)",mg/24hr,3
HDLP (HIGH DENS.LIPOPROT),mg/dL,3
HGB (HEMOGLOBIN | CDR CRMA HEM LRR),g/dL,3
HCT (HEMATOCRIT | CDR CRMA HEM LRR),%,3
"HDL (CHOLESTEROL, HDL, S)",mg/dL,3
LDH (LDH | CDR SSHCC LAB LRR),U/L,3
MC2729 (CA 27-29),U/ML,3
GFR (GFR | CDR CRMA LAB LLR),mL/min/1.73m^2,3
LYMP (LYMPHOCYTES (%)),%,3
LYMPH (LYMPHOCYTES | CDR SSHCC HEM LRR),%,3
LYMPHS (LYMPHOCYTE% | CDR SSHCC HEM LRR),%,3
B1GLOBULIN (BETA-1-GLOBULIN),g/dL,3
B2GLOBULIN (BETA-2-GLOBULIN),g/dL,3
NH3 (AMMONIA),umol/L,3
MTYPPCELTLBM (MONOTYPIC PC PER TOTAL EVENTS),%,3
FOLATE (FOLATE | CDR MRMC LAB LRR),ng/mL,3
CA199C (CA19-9),U/mL,3
CACORRECTED (CORRECTED CALCIUM | CDR CRMA LAB LLR),mg/dL,3
"PBH (HOMOCYSTEINE,TOTAL)",nmol/mL,3
FE (IRON LEVEL | CDR MRMC LAB LRR),mcg/dL,3
FE (IRON | CDR EHS LAB LRR),ug/dL,3
"TP (PROTEIN, TOTAL | CDR CRMA LAB LLR)",g/dL,3
OCAST (TOTAL CASTS URINE),/LPF,3
FER (FERRITIN | CDR MRMC LAB LRR),ng/mL,3
NRBCAB (NRBC ABSOLUTE),K/UL,3
ACLIGG (ANTICARDIOLIPIN IGG),CU,3
"CHOL (CHOLESTEROL, TOTAL,S)",mg/dL,3
CHRL (CHOLESTEROL),mg/dL,3
PREALB (PREALBUMIN),mg/dL,3
WBC (WBC COUNT),K/uL,3
WBC (WHITE BLOOD CELL COUNT | CDR CRMA HEM LRR),k/uL,3
WBCCL (WBC CLUMPS),/HPF,3
IMMGRANPCT (IMMATURE GRANULOCYTES (%)),%,3
CRE (CREATININE | CDR CRMA LAB LLR),mg/dL,3
CREATOP (CREATININE 24 HR URINE),mg/total output,3
IGF1 (IGF-1 (SOMATOMEDIN C)),ng/mL,3
ALYMP (LYMPHOCYTES (#)),K/uL,3
MON (MONOCYTES (%)),%,3
META (METAMYELOCYTES | CDR SSHCC HEM LRR),%,3
MCH (MCH | CDR CRMA HEM LRR),pg,3
MCHC (MCHC | CDR CRMA HEM LRR),g/dL,3
GLU (GLUCOSE | CDR CRMA LAB LLR),mg/dL,3
G6PD (GLUCOSE 6 PD),U/g Hb,3
BAND (BANDS | CDR SSHCC HEM LRR),%,3
BUN (BUN | CDR CRMA LAB LLR),mg/dL,3
MCV (MCV | CDR CRMA HEM LRR),fL,3
UABLD (URINE BLOOD | CDR EHS HEM LRR),mg/dL,3
ATYPS (ATYPICAL LYMPHS | CDR SSHCC HEM LRR),%,3
PTT (PARTIAL THROMBOPLASTIN TIME),s,3
SGOT (AST (SGOT) | CDR CRMA LAB LLR),U/L,3
SGOT (AST/SGOT | CDR SSHCC LAB LRR),U/L,3
SGPT (ALT/SGPT | CDR SSHCC LAB LRR),U/L,3
3ABS (CD3+ (ABS)),/uL,3
PTT (PTT ACT PARTIAL THROMBOPLASTIN),Seconds,3
PTYPPCELLTBM (POLYTYPIC PC PER TOTAL EVENTS),%,3
ABASOS (ABSOLUTE BASOPHIL COUNT | CDR SSHCC HEM LRR),K/mm3,3
ALB (ALB | CDR CRMA LAB LLR),g/dL,3
BASO (BASOPHILS | CDR SSHCC HEM LRR),%,3
BASOP (BASOPHILS (%)),%,3
ABASOP (BASOPHILS  (#)),K/uL,3
CMBG (CALC MEAN BLD GLUC),mg/dL,3
CO2 (CO2 | CDR CRMA LAB LLR),mEq/L,3
CL (CHLORIDE | CDR CRMA LAB LLR),mEq/L,3
RBC (RED BLOOD CELL COUNT | CDR CRMA HEM LRR),M/uL,3
RDW (RDW | CDR CRMA HEM LRR),%,3
"ZINC (ZINC, S)",mcg/dL,3
ZSCORE (Z SCORE),SD,3
AMONS (MONOCYTES (#)),K/uL,3
"IGG (IMMUNOGLOBULIN G, QN, SERUM)",mg/dL,2
ZN (ZINC),mcg/mL,2
CORTISOLAM (CORTISOL AM),ug/dL,2
RBCU (RBC UA),per HPF,2
ALDOL (ALDOLASE),U/L,2
UTP (URINE TOTAL PROTEIN),mg/dL,2
VNA (URINE SODIUM (ADULT)(May be or),mmol/L,2
UALP1EP (ALPHA-1 GLOBULIN),mg/24 h,2
UALPH2EP (ALPHA 2-GLOBULIN),not reported,2
UALPH2EP (ALPHA-2 GLOBULIN),mg/24 h,2
UASBACT (BACTERIA),per HPF,2
AFPC (AFP (non-maternal)),ng/mL,2
AFPC (ALPHA-FETOPROTEIN),NG/ML,2
AGRTO (A/G RATIO),%,2
PTINR (INR | CDR SSHCC HEM LRR),RATIO,2
PTT (ACTIVATED PTT | CDR EHS HEM LRR),seconds,2
"SERO (SEROTONIN, SERUM)",NG/ML,2
RETIC (RETICULOCYTE COUNT AUTO),%,2
CORT (CORTISOL RANDOM),ug/dL,2
VWF (von WILLEBRAND FAC.),%,2
UUN (URINE UREA NITROGEN),mg/dL,2
"VITD3125DOH (1,25 DIHYDROXY VITAMIN D3 | CDR MRMC LAB LRR)",pg/mL,2
25VITD (VITAMIN D 25 HYDROXY | CDR EHS LAB LRR),ng/mL,2
"CA125 (CA125, CANCER ANTIGEN 125)",U/mL,2
"THYGAB (THYROGLOBULIN ANTIBODY, S)",IU/mL,2
TIBC (IRON BINDING CAPACITY | CDR EHS LAB LRR),ug/dL,2
PLTP (POST PLT CT.),K/UL,2
PHOS (PHOSPHOROUS | CDR CRMA LAB LLR),mg/dL,2
"PLA2RABIGG (PLA2R,ELISA)",RU/mL,2
"DSDNAIGG (DSDNA AB, IGG, S)",IU/mL,2
ASPAG (ASPERGILLUS AG),INDEX,2
TACRO (TACROLIMUS),NG/ML,2
CKISBB (CK BB FRACTION),%,2
CKISMB (CK MB FRACTION),%,2
ATIIIF (ANTITHROMBIN III),%,2
B12 (B12 | CDR EHS LAB LRR),pg/mL,2
BHCG (HCG BETA),MIU/ML,2
BKVDNAUR (UBK VIRUS),IU/mL,2
KAPLCF (KAPPA FREE LIGHT CHAIN),mg/dL,2
IRON,ug/dL,2
JO1IGG (JO 1 IGG),U,2
INTERL2 (INTERLEUKIN 2),pg/mL,2
"IGA (IMMUNOGLOBULIN A, QN, SERUM)",mg/dL,2
UBYT (Budding Yeast),/hpf,2
UBYT (URINE BUDDING YEAST),/HPF,2
CKISMM (CK MM FRACTION),%,2
CKM (CREATINE KINASE),U/L,2
PROMY (PROMYELO),%,2
PROMYELO (PROMYELOCYTES | CDR SSHCC HEM LRR),%,2
"PSAFREE (PSA, FREE)",ng/ml,2
PRALBM (PREALBUMIN),mg/dL,2
TOTLCK (TOTAL CK ACTIVITY),U/L,2
F8A (FACTOR 8 ANTIGEN),%,2
F8F (FACTOR 8 FUNCTIONAL),%,2
"ERYPOI (ERYTHROPOIETIN (EPO), SERUM)",mIU/mL,2
ESTR (ESTRONE),pg/mL,2
APIXIBAN (ANTI-XA APIXABAN),ng/mL,2
APROM (ABS PROMYELOCYTES),K/UL,2
ALKPHB (BONE ALKALINE PHOS),not reported,2
CA199C (CA 19-9),U/mL,2
CAGTTR (COLD HEMAGGLUTININS),titer,2
UBETAEP (BETA GLOBULIN),mg/24 h,2
UBETAEP (BETA-GLOBULIN),not reported,2
UBKV (URINE BK VIRUS),DNA copies/mL,2
UASWBC (WBC - UA),per HPF,2
UASMUC (MUCOUS | CDR EHS HEM LRR),/LPF,2
UASSQUA (SQUAMOUS CELLS),per HPF,2
HCGQT (HCG (QUANTITATIVE)),IU/L,2
"TP (PROTEIN,SERUM TOTAL)",g/dL,2
TPO (THYROID PEROXIDASE AB),IU/mL,2
"TPO (THYROPEROXIDASE AB, S)",IU/mL,2
DIG (DIGOXIN),ng/mL,2
DPER (COLLECTION PERIOD),hrs,2
DFFLA (ABS FISSURED LYMPHS),K/UL,2
DFFLA (ABS FISSURED LYMPHS),K/uL,2
DFVOL (URINE VOLUME),mL,2
"ST0 (ACTH STIM, BASELINE)",mcg/dL,2
"ST30 (ACTH STIM, 30 MINS)",mcg/dL,2
"ST60 (ACTH STIM, 60 MINS)",mcg/dL,2
SHBG (SEX HORM. BIND. GLOB.),nmol/L,2
SMC (INSULIN-LIKE GROWTH FACTOR 1),ng/mL,2
"SMIGG (SM AB, IGG, S)",U,2
TRYPTS (TRYPTASE),ng/mL,2
TSH (SCREENING PANEL: TSH),uIU/mL,2
FESAT (IRON SATURATION %),%,2
FESAT (% SATURATION | CDR EHS LAB LRR),%,2
GAST (GASTRIN),pg/ml,2
GASTRN (GASTRIN),pg/mL,2
FPSA (FREE PSA              (INCLUDE),%,2
B2GPG (B2-GLYCOPROT IGG),CU,2
B2GPM (B2-GLYCOPROT IGM),CU,2
LDLDIR (LDL CHOLESTEROL DIRECT | CDR MRMC LAB LRR),mg/dL,2
LAMBFREE (LAMBDA FREE LIGHT CHAIN),mg/dL,2
LAMOT (LAMOTRIGINE),mcg/mL,2
M2AB (MITOCHONDRIAL AB M2),U,2
UALP1EP (ALPHA 1-GLOBULIN),not reported,2
TUGAMM (GAMMA GLOBULIN),mg/24 h,2
TUGAMM (GAMMA-GLOBULIN),not reported,2
TSII (TSI),TSI index,2
TT3 (TOTAL T3),ng/dL,2
TUCA (CALCIUM OUTPUT),mg/total output,2
UALBEP (ALBUMIN),mg/24 h,2
BONALK (BONE ALKALINE PHOS),ug/L,2
BP180 (BP 180 IGG AB),RU/mL,2
BP230IGG (BP 230 IGG AB),RU/mL,2
MEAGLY (CAL MEAN GLUCOSE),mg/dl,2
GLUPOC (BEDSIDE GLUCOSE | CDR MRMC LAB LRR),mg/dL,2
FT (FREE THYROXINE),ng/dL,2
MGLU (ESTIMATED AVERAGE GLUCOSE),mg/dl,2
PT (PT | CDR SSHCC HEM LRR),SECS,2
PTH (PARATHYROID HORMONE INTACT),pg/mL,2
"IGE (IMMUNOGLOBULIN E, QN, SERUM)",IU/mL,2
HGEIGGT (ANAPLASMA PHAGOCYTOPHILUM AB I),titer,2
IL2R (INTERLEUKIN 2 RECEPTOR),pg/mL,2
"IGM (IMMUNOGLOBULIN M, QN, SERUM)",mg/dL,2
PT (PROTHROMBIN TIME PATIENT | CDR SSHCC LAB LRR),secs,2
A1C (GLY A1C EQUIVALENT),%,2
70000043003 (IMMATURE RETICULOCYTE FRACTION),%,2
70000043004 (RETICULOCYTE HEMOGLOBIN CONTEN),pg/cell,2
VEGF (VAS ENDOTHL GROW FC),pg/mL,2
"UTP (PROTEIN, TOT, RAN)",mg/dL,2
"VITD2125HDOH (1,25 DIHYDROXY VITAMIN D2 | CDR MRMC LAB LRR)",pg/mL,2
AATYP (ABS REACTIVE LYMPHS),K/uL,2
VCL (URINE CHLORIDE (ADULT)(May be ),mmol/L,1
5020044623 (CA 125 ANTIGEN | CDR MRMC LAB LRR),U/mL,1
"5202000446 (TOTAL PROTEIN, 24 HR, U)",mg/24 h,1
5202000447 (COLLECTION DURATION),h,1
5202000448 (URINE VOLUME),mL,1
5230000703 (INTERLEUKIN 12),pg/mL,1
5230000704 (INTERFERON GAMMA),pg/mL,1
5230000706 (INTERLEUKIN 5),pg/mL,1
5230000707 (INTERLEUKIN 10),pg/mL,1
5230000709 (INTERLEUKIN 17),pg/mL,1
5230000710 (INTERLEUKIN 1 BETA),pg/mL,1
5230000712 (INTERLEUKIN 8),pg/mL,1
5230000713 (TUMOR NECROSIS FACTOR - ALPHA),pg/mL,1
"5HIAATU (5-HIAA, URINE)",mg/L,1
"5HIAATU (5-HIAA,QN,RANDOM,UR)",mg/g Creat,1
70000023809 (IONIZED CALCIUM),mmol/L,1
VGKC (NEURONAL VGKC AB),nmol/L,1
VIP,pg/ml,1
AMY (AMYLASE LEVEL | CDR MRMC LAB LRR),U/L,1
AMYELOS (MYELOCYTES ABSOLUTE),10*3/uL,1
ANEU (ABS  NEUT),10*3/uL,1
ANEU (NEUTROPHILS ABSOLUTE MANUAL),10*3/uL,1
HGB (HEMOGLOBIN | CDR MVH HEM LRR),gm/L,1
HGBEQU (CHR),pg,1
HGBEQU (RETICULOCYTE HGB CONTENT (CHR) | CDR MRMC HEM LRR),pg,1
HISTAG (SER HISTOPLASMA AG),ng/mL,1
UCRE (UCREAT(480)),mg/dL,1
UCRE (URINE CREATININE | CDR MRMC LAB LRR),mg/dL,1
UGGP (GAMMA GLOBULIN),mg/dL,1
UMALB (MICROALB(480)),ug/mL,1
IGM (IMMUNOGLOBULIN M | CDR EHS LAB LRR),mg/dL,1
AMONOS (MONO# | CDR CRMA HEM LRR),K/uL,1
AMONS (ABS  MONO),10*3/uL,1
AMPHI (AMPHIPHYSIN AB),titer,1
BETAEP (BETA-GLOBULIN),%,1
BETAEP (BETA-GLOBULIN),g/dL,1
BONALK (BONE ALKALINE PHOS),mcg/L,1
AT3P (ANTI THROMBIN 3),%,1
"AVITE (VIT E, A-TOCOPHEROL)",mg/L,1
B12 (VITAMIN B12 | CDR SSHCC LAB LRR),pg/ml,1
"UCRE (CREATININE, R U)",mg/dL,1
"UCRE (CREATININE, RANDOM U)",mg/dL,1
INTERL8 (INTERLEUKIN 8),pg/mL,1
K (POTASSIUM | CDR NSMC LAB LRR),MEQ/L,1
KAPFLC (KAPPA QNT FREE LIGHT CHAINS),mg/L,1
KAPPA (KAPPA LIGHT CHAIN ANALYSIS | CDR MRMC LAB LRR),mg/L,1
KAPPAIGG (M-PROTEIN GK),g/dL,1
KAPPAIGM (M-PROTEIN MK),g/dL,1
LAMBDA (LAMBDA LIGHT CHAIN ANALYSIS | CDR MRMC LAB LRR),mg/L,1
LAMBDAIGM (M-PROTEIN ML),g/dL,1
PTT (PARTIAL THROMBOPLASTIN TIME | CDR MVH HEM LRR),SECONDS,1
PTT (PTT ACT PARTIAL THROMBOPLASTIN),SEC,1
QEPO (ERYTHROPOIETIN/QUEST),MU/ML,1
"RBC (RBC, AUTOMATED)",10*6/uL,1
"AFPTM (AFP TUMOR MARKER, S)",ng/mL,1
AGNA1 (AGNA-1),titer,1
PSAMON (PSA MONITORING | CDR NSMC LAB LRR),NG/ML,1
PSAPCTF (% FREE PSA),%,1
"DBILI (BILIRUBIN, DIRECT | CDR QUEST LAB LRR)",mg/dL,1
DBILI (DBILI | CDR CRMA LAB LLR),mg/dL,1
DBILI (DIRECT BILIRUBIN | CDR EHS LAB LRR),mg/dL,1
"DDTEST (D DIMER,QUANT)",ug/mlFEU,1
PTHRP (PTH RELATED PEPTIDE),pmol/L,1
PTT (APTT | CDR SSHCC HEM LRR),SEC,1
PTT (APTT),seconds,1
PTT (LUPUS ANTICOAGULANT PTT SCREEN|CDR MRMC LAB LRR),sec,1
RHF (RHEUMATOID FACTOR),[IU]/mL,1
"RHF (RHEUMATOID FACTOR, S)",IU/mL,1
"SCL70IGG (SCL 70 AB, IGG)",U,1
SGOT (AST | CDR NSMC LAB LRR),IU/L,1
SGOT (AST | CDR QUEST LAB LRR),U/L,1
SGPGM (MAG-SGPG IGM),titer,1
SGPT (ALT | CDR NSMC LAB LRR),IU/L,1
SGPT (ALT | CDR QUEST LAB LRR),U/L,1
CPK (CREATINE KINASE TOTAL),U/L,1
RETIC (RELATIVE RETIC),%,1
RETIC (RETICULOCYTE % | CDR EHS HEM LRR),%,1
RETIC (RETICULOCYTE COUNT (%) | CDR SSHCC HEM LRR),%,1
RETIC (RETICULOCYTE COUNT | CDR MRMC HEM LRR),%,1
"RETICADJ (RETIC (%), ADJUSTED)",%,1
RETICIMM (IMMATURE RETIC FRACTION | CDR EHS HEM LRR),%,1
RETICIMM (IMMATURE RETIC FRACTION),%,1
DFCLA (CREATININE CLEARANCE),mL/Min,1
DHEAND (DEHYDROEPIANDROSTRON),ng/mL,1
DRVVTSCR (DRVVT MIX INTERPRETATION (SCREEN) | CDR MRMC LAB LRR),sec,1
ANEUTS (NEUT# | CDR CRMA HEM LRR),K/uL,1
PROCG (PROCOLL I INTACT N),mcg/L,1
PROMABS (PROMYELOCYTES ABSOLUTE),10*3/uL,1
PROTCP (PROTEIN C),%,1
"PSA (PROSTATE SPECIFIC AG, SERUM)",ng/mL,1
"STLCMV (CMV PCR, STOOL)",copies/mL,1
STMA (STRIATIONAL ANTIBODY),titer,1
STRABG (STRONGYLOIDES IGG),not reported,1
ACBAB (ACH RECEPTOR BIND AB),nmol/L,1
ACETOM (ACETAMINOPHEN),mcg/mL,1
CEA,ng/ml,1
CEA (CARCINOEMBRYONIC ANTIGEN),ng/mL,1
CHOL (CHOLESTEROL (TOTAL) | CDR SSHCC LAB LRR),mg/dL,1
CRE (CREATININE - POCT),mg/dL,1
CRE (CREATININE | CDR NSMC LAB LRR),MG/DL,1
CREFLD (FLUID CREATININE),mg/dL,1
CRMPAB (CRMP-5-IGG),titer,1
CTX (COLLAGEN CTX),not reported,1
SODIUM | CDR NSMC LAB LRR,MEQ/L,1
SSAM1 (SS-A/RO IGG),U,1
SSBM1 (SS-B/LA IGG),U,1
PSAPCTF (FREE/TOTAL PSA),%,1
PSATOTSCRN (PSA (TOTAL AND SCREENING)),ng/mL,1
PSTF (PROTEIN S),%,1
PT (PROTHROMBIN TIME (RESULT)),SEC,1
PT (PROTIME),seconds,1
CPKMB (CKMB (RESULT)),ng/ml,1
CPNG (C-PEPTIDE),ng/mL,1
CPSA (COMPLEXED PSA),ng/mL,1
ARSCWB (ARSENIC),ng/mL,1
AST (AST(SGOT)),U/L,1
"DSDNA1 (DNA DOUBLE-STRANDED AB, IGG, S)",IU/mL,1
"EHCHTITR (EHRLICHIA CHAFF (HME) AB, IGG)",titer,1
ENTER (ENTEROVIRUS PCR),copies/mL,1
EO (EOSINOPHILS PERCENT MANUAL),%,1
"PGSN1 (PROGESTERONE, S)",ng/mL,1
PHGB (PLASMA HEMOGLOBIN),mg%,1
AEOSN (ABS  EOS),10*3/uL,1
TBG (THYROXIN BINDING GLOBULIN (TBG)),mcg/mL,1
TBGMAY (THYROID BIND. GLOB.),ug/mL,1
TBII,IU/L,1
"TBILI (BILIRUBIN, TOTAL | CDR QUEST LAB LRR)",mg/dL,1
ARETIC (ABSOLUTE RETIC COUNT (#) | CDR SSHCC HEM LRR),/ul,1
ARETIC (ABSOLUTE RETIC CT | CDR EHS HEM LRR),10^6/uL,1
ARETIC (RETIC COUNT),10*6/uL,1
CKMB (CK ISOENZYMES),ng/mL,1
ACLIGG (CARDIOLIPID IGG ANTIBODY | CDR MRMC LAB LRR),GPL U/mL,1
ACLIGM (CARDIOLIPID IGM ANTIBODY | CDR MRMC LAB LRR),MPL U/mL,1
ACTH,not reported,1
ACTIN (ACTIN SMOOTH MUSCLE ANTIBODY),U,1
ADENODNAUR (UR ADENOVIRUS QUANT),copies/mL,1
AEO (EOSINOPHILS ABSOLUTE MANUAL),10*3/uL,1
AEOS (EOS# | CDR CRMA HEM LRR),K/uL,1
PSA (PSA SCREEN),ng/ml,1
"PSAFREE (PSA, FREE)",ng/mL,1
PSAMON (PROSTATE SPECIFIC ANTIGEN | CDR MRMC LAB LRR),ng/mL,1
CHOL (CHOLESTEROL | CDR CRMA LAB LLR),mg/dL,1
CHOL (CHOLESTEROL | CDR EHS LAB LRR),mg/dL,1
CHOL (CHOLESTEROL),mg/dl,1
CHOLHDL (RISK FACTOR | CDR SSHCC LAB LRR),mg/dL,1
CHROMIUM,ng/mL,1
PCATR (PCA-TR),titer,1
ANION (ANION GAP),mEq/L,1
ANNA (ANTI NEURONAL NUCL AB),titer,1
ANNA2TITR (ANNA-2),titer,1
ANNA3 (ANNA-3),titer,1
AOTHR (ABSOLUTE OTHER CELLS),K/uL,1
APLSM (ABSOLUTE PLASMA CELLS),K/uL,1
ERYPOI (ERYTHROPOIETIN | CDR SSHCC LAB LRR),mIU/mL,1
ALKP (ALK PHOS | CDR NSMC LAB LRR),IU/L,1
ALKP (ALKALINE PHOSPHATASE | CDR QUEST LAB LRR),U/L,1
ALPH1EP (ALPH 1-GLOBULIN),%,1
ALPH1EP (ALPHA-1 GLOBULIN),g/dL,1
ALPH2EP (ALPHA 2-GLOBULIN),%,1
ALPH2EP (ALPHA-2 GLOBULIN),g/dL,1
"PBH (HOMOCYSTEINE,TOTAL)",mcmol/L,1
"PCAB1 (PARIETAL CELL AB,IGG)",U,1
TIBC,ug/mL,1
CA (CALCIUM | CDR NSMC LAB LRR),MG/DL,1
CA153 (CANCER AG 15-3),U/mL,1
CA199 (CA 19-9 ANTIGEN | CDR MRMC LAB LRR),U/mL,1
CA199C (CA19-9),U/ML,1
"CAABN (CA CHAN BIND AB, N)",nmol/L,1
"CAABPQ (CA CHAN BIND AB, P/Q)",nmol/L,1
"PARIETALCELL (PARIETAL CELL AB,IGG)",U,1
PLSM (PLASMA CELL),%,1
PLT (PLATELET COUNT | CDR MVH HEM LRR),K/mm3,1
POLY (NEUT PCT MANUAL),%,1
DDTEST (D-DIMER),ug/mlFEU,1
"TBILI (BILIRUBIN,TOTAL | CDR NSMC LAB LRR)",MG/DL,1
"TBILI (BILIRUBIN,TOTAL)",mg/dL,1
TCVL (CMV VIRAL LOAD),IU/ML,1
TCVL (CMV VIRAL LOAD),IU/mL,1
TRIG (TRIGLYCERIDES | CDR CRMA LAB LLR),mg/dL,1
TRIG (TRIGLYCERIDES | CDR SSHCC LAB LRR),mg/dL,1
FOLATE (FOLIC ACID | CDR SSHCC LAB LRR),ng/ml,1
FREET3 (TRIIODOTHYRONINE T3 FREE),pg/mL,1
FREET4 (FREE T4 | CDR SSHCC LAB LRR),ng/dl,1
FREET4 (FREE THYROXINE | CDR EHS LAB LRR),ng/dL,1
FREET4 (FREE THYROXINE | CDR MRMC LAB LRR),ng/dL,1
MTV3 (TOTAL VOLUME),h,1
TNT (TROPONIN-T),ng/mL,1
TOXOIGG (TOXOPLASMA IGG),EIU,1
"TP (PROTEIN, TOTAL | CDR QUEST LAB LRR)",g/dL,1
TP (TOTAL PROTEIN | CDR NSMC LAB LRR),G/DL,1
TP (TOTAL PROTEIN-ELECTROPHORESIS),g/dL,1
TREP (TRANSITIONAL EPITH),/HPF,1
TREP (TRANSITIONAL EPITH),/hpf,1
TRIG (TRIGLYCERIDE | CDR EHS LAB LRR),mg/dL,1
"OSM (OSMOLALITY, SERUM/PLASMA)",mOSM/kg,1
OSM (SERUM OSMOLALITY | CDR EHS LAB LRR),mOsm/kg,1
OSTEOCAL (OSTEOCALCIN),ng/mL,1
OTHERS (OTHER CELLS % (MANUAL)),%,1
PANPOLY (PANCR. POLYPEPTIDE),pg/mL,1
CD (BLOOD CADMIUM),ng/mL,1
CD34POS (PERIPHERAL BLD CD34),CD34+CELLS/uL,1
TNECF (TUMOR NECROSIS FACTOR ALPHA),pg/mL,1
