SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
DFCI,3010813,Leukocytes [#/volume] in Blood,26464-8,LOINC,Measurement,S,0,(NULL/0),,,,,2,190,1.0526,2,62,3.2258,9/22/2025
DFCI,3010813,Leukocytes [#/volume] in Blood,26464-8,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,188,190,98.9474,60,62,96.7742,9/22/2025
MSKCC,3010813,Leukocytes [#/volume] in Blood,26464-8,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,25287,25287,100,6295,6295,100,9/22/2025
FH,3011424,Glucose [Mass/volume] in Blood by Automated test strip,2340-8,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,116,116,100,104,104,100,9/19/2025
DFCI,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,0,(NULL/0),,,,,107,246140,0.0435,90,34833,0.2584,9/22/2025
JH,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,0,(NULL/0),,,,,781,1703997,0.0458,698,133510,0.5228,9/19/2025
FH,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,1582,1286216,0.123,589,116166,0.507,9/19/2025
MSKCC,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,364,2797882,0.013,356,167286,0.2128,9/22/2025
DFCI,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,246033,246140,99.9565,34758,34833,99.7847,9/22/2025
JH,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,1703216,1703997,99.9542,133492,133510,99.9865,9/19/2025
FH,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,1284634,1286216,99.877,116115,116166,99.9561,9/19/2025
MSKCC,3011948,Monocytes/100 leukocytes in Blood by Automated count,5905-5,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,2797518,2797882,99.987,167260,167286,99.9845,9/22/2025
DFCI,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,0,(NULL/0),,,,,687,4913079,0.014,401,241249,0.1662,9/22/2025
JH,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,0,(NULL/0),,,,,1279,2805739,0.0456,879,147242,0.597,9/19/2025
FH,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,2139656,2139658,99.9999,138189,138189,100,9/19/2025
DFCI,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8564,picogram,pg,UCUM,Unit,S,4912361,4913079,99.9854,241204,241249,99.9813,9/22/2025
JH,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8564,picogram,pg,UCUM,Unit,S,2804460,2805739,99.9544,147239,147242,99.998,9/19/2025
MSKCC,3012030,MCH [Entitic mass] by Automated count,785-6,LOINC,Measurement,S,8564,picogram,pg,UCUM,Unit,S,4394586,4394586,100,201615,201615,100,9/22/2025
