SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
JHU,3009214,Lutropin [Units/volume] in Serum or Plasma,10501-5,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,3535,9370,37.7268,1384,3691,37.4966,12/16/2025
DFCI,3009214,Lutropin [Units/volume] in Serum or Plasma,10501-5,LOINC,Measurement,S,8923,international unit per liter,[iU]/L,UCUM,Unit,S,18425,20350,90.5405,8758,9633,90.9166,12/19/2025
DFCI,3009214,Lutropin [Units/volume] in Serum or Plasma,10501-5,LOINC,Measurement,S,9550,milli-international unit per milliliter,10*-3.[iU]/mL,UCUM,Unit,S,723,20350,3.5528,584,9633,6.0625,12/19/2025
JHU,3009214,Lutropin [Units/volume] in Serum or Plasma,10501-5,LOINC,Measurement,S,9550,milli-international unit per milliliter,10*-3.[iU]/mL,UCUM,Unit,S,5835,9370,62.2732,2613,3691,70.7938,12/16/2025
DFCI,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,1834-1,LOINC,Measurement,S,0,(NULL/0),,,,,269,529,50.8507,241,391,61.6368,12/19/2025
JHU,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,1834-1,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,48,237,20.2532,48,219,21.9178,12/16/2025
DFCI,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,1834-1,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,260,529,49.1493,154,391,39.3862,12/19/2025
JHU,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,1834-1,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,189,237,79.7468,178,219,81.2785,12/16/2025
MSK,3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,1834-1,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,69034,69034,100,9532,9532,100,2/12/2026
DFCI,3009445,Proteinase 3 Ab [Units/volume] in Serum,6968-2,LOINC,Measurement,S,0,(NULL/0),,,,,220,244,90.1639,195,215,90.6977,12/19/2025
DFCI,3009445,Proteinase 3 Ab [Units/volume] in Serum,6968-2,LOINC,Measurement,S,8510,unit,[U],UCUM,Unit,S,9,244,3.6885,8,215,3.7209,12/19/2025
DFCI,3009445,Proteinase 3 Ab [Units/volume] in Serum,6968-2,LOINC,Measurement,S,8763,unit per milliliter,[U]/mL,UCUM,Unit,S,5,244,2.0492,4,215,1.8605,12/19/2025
DFCI,3009445,Proteinase 3 Ab [Units/volume] in Serum,6968-2,LOINC,Measurement,S,8980,arbitrary unit per milliliter,[arb'U]/mL,UCUM,Unit,S,10,244,4.0984,10,215,4.6512,12/19/2025
