ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
1397599	41376933	3	4
1397599	35142342	2	3
1344905	43717333	2	2
1397599	2058232	1	1
1397599	43845743	3	4
1397599	43844804	2	3
1344905	41357033	3	5
1397599	35865154	1	1
1344905	43518374	3	4
1344905	35867621	1	2
1344905	41358532	3	4
1397599	41378020	3	4
1397599	21049566	3	4
1397599	586794	2	3
1397599	41401347	3	4
1344905	41129766	3	4
1397599	40951946	1	1
1397599	40930549	3	4
1344905	41390425	3	4
1344905	43772349	3	3
1344905	43518670	2	3
1344905	41047959	1	1
1397599	36052947	3	4
1344905	42921295	2	3
1397599	41382096	3	4
1344905	43755153	2	2
1344905	43863465	3	3
1344905	40973242	3	3
1344905	41390512	3	4
1397599	41414461	2	3
1344905	40930844	2	3
1344905	42948427	1	2
1397599	43856111	1	2
1344905	43753375	3	3
1344905	35130472	1	1
1397599	41316061	3	4
1397599	43646276	3	4
1397599	35784281	3	4
1397599	43847692	2	3
1344905	41066914	2	3
1397599	35134859	3	4
1344905	2028357	3	4
1344905	35784767	3	4
1344905	43677362	3	4
1397599	35786689	3	4
1397599	43694129	3	4
1344905	41375302	2	3
1344905	40910978	3	3
1397599	36052942	2	3
1344905	43809738	2	2
1344905	41358140	3	5
1344905	36056019	3	4
1344905	588195	2	3
1344905	43627434	2	2
1344905	43788137	2	2
1344905	43703842	3	3
1397599	41129148	2	3
1344905	43611776	3	4
1344905	35780991	3	4
1397599	35743253	3	5
1344905	42948419	2	3
1344905	35784804	3	4
1344905	35780832	3	3
1344905	40942297	2	3
1344905	35829433	3	4
1344905	19095938	1	1
1397599	41376754	3	4
1344905	43685923	3	4
1344905	40962094	3	4
1344905	41098397	2	3
1397599	41004030	2	3
1344905	41390434	3	5
1344905	21146711	3	4
1344905	43844470	3	3
1344905	21078716	3	3
1397599	43220045	3	4
1344905	43141844	2	2
1344905	35138105	3	4
1397599	36779142	3	3
1397599	41415279	2	3
1344905	43629291	3	3
1397599	43842250	3	4
1344905	43754334	3	5
1397599	36074726	1	1
1344905	43219191	3	3
1397599	44185042	3	3
1344905	41403003	3	4
1344905	41004646	3	4
1397599	43282410	3	4
1397599	43775561	3	5
1344905	43681608	3	4
1397599	36064554	3	4
1344905	40737816	3	4
1397599	43829619	3	4
1344905	41375590	3	4
1344905	44056036	1	1
1397599	41397217	2	3
1397599	586841	3	4
1344905	43719124	3	4
1397599	36259163	1	1
1344905	41108381	1	1
1397599	21029923	3	5
1344905	43845852	3	3
1344905	43208184	2	2
1397599	21098655	2	3
1344905	43719672	2	2
1397599	43826850	2	3
1397599	2025898	3	4
1344905	1344909	2	3
1344905	41285369	3	4
1397599	41361814	3	4
1397599	41391168	3	4
1397599	43701870	3	5
1344905	43701995	3	3
1344905	41004640	2	2
1344905	43150015	3	3
1397599	35787040	3	3
1344905	21029457	3	3
1344905	2906768	3	3
1344905	43197646	2	2
1397599	43142120	2	2
1344905	35781333	3	3
1344905	43175419	2	2
1344905	43766965	1	1
1344905	21088089	3	3
1397599	35786859	3	5
1397599	43809619	3	4
1397599	41393572	3	4
1344905	43773802	3	3
1344905	43771387	3	3
1344905	42919697	2	3
1344905	43150016	3	3
1397599	35781895	3	3
1344905	43857227	3	4
1397599	43164277	2	2
1344905	41390505	2	3
1344905	21059020	3	4
1344905	43685924	3	5
1397599	35157462	2	3
1344905	43628416	3	4
1344905	43789243	3	3
1344905	41375163	2	3
1344905	41129768	3	4
1344905	43659365	2	2
1397599	43722118	3	4
1344905	40737811	2	3
1397599	41368164	3	4
1344905	587612	1	2
1397599	21039752	3	5
1344905	36786106	1	1
1397599	36785432	2	2
1344905	43737214	3	5
1344905	43845854	3	3
1344905	43648006	3	3
1397599	36064561	2	3
1397599	41392535	2	3
1397599	43631751	2	3
1344905	41390479	3	4
1397599	40713286	3	5
1344905	43291858	3	3
1397599	43829620	3	4
1397599	41284801	3	4
1344905	41356096	3	4
1344905	43785040	1	1
1397599	41066293	2	3
1397599	44115621	3	4
1344905	40738280	2	3
1344905	41374981	2	3
1344905	35784774	3	4
1397599	36778683	3	4
1344905	43164376	3	3
1397599	41433748	3	4
1344905	43186779	3	3
1397599	41024050	3	4
1397599	35787585	3	5
1344905	40737803	1	1
1397599	35782184	3	4
1344905	35784803	3	3
1344905	41375161	3	4
1344905	36280052	2	3
1344905	43793553	3	5
1397599	41424734	3	4
1397599	21152486	3	5
1397599	43845139	3	4
1344905	41402269	3	4
1397599	41238724	1	2
1344905	1344908	1	1
1397599	43610656	3	4
1344905	41192330	2	3
1397599	43827650	3	4
1397599	36778688	2	2
1397599	41129146	2	3
1397599	36270816	2	3
1344905	43772348	2	2
1344905	43862677	3	4
1344905	43735551	3	3
1344905	43754339	3	3
1344905	40738275	1	1
1344905	784789	3	4
1344905	43197289	3	3
1344905	41238862	1	2
1397599	44083182	1	2
1344905	36779920	3	3
1397599	35747446	3	4
1397599	43698329	3	4
1344905	43731027	1	1
1344905	40709190	3	4
1344905	40879978	3	4
1397599	41399994	2	3
1397599	43592684	3	4
1397599	43258965	3	5
1397599	2027330	3	4
1397599	35131641	2	3
1397599	36073835	2	3
1344905	43645583	3	4
1344905	2906767	3	3
1397599	43184740	2	2
1397599	41378576	3	4
1397599	35742250	2	2
1344905	41207926	1	2
1344905	43735550	3	4
1344905	41402929	3	5
1344905	43611160	2	2
1344905	41145425	1	2
1344905	35784785	3	3
1344905	35153375	3	4
1397599	41110586	1	1
1397599	36052946	2	3
1397599	41393199	3	4
1397599	41426405	2	3
1344905	19022401	1	1
1344905	43737213	3	4
1397599	41372019	2	3
1344905	43649955	3	4
1397599	40879363	3	4
1397599	36279574	3	5
1344905	41390403	3	4
1397599	36064560	3	4
1344905	43648003	3	3
1397599	35786485	3	5
1397599	35131322	1	2
1397599	41284803	3	4
1397599	35787039	3	4
1344905	43611777	3	4
1397599	43700914	3	5
1344905	43629896	3	4
1397599	44051157	3	4
1397599	40957469	1	2
1344905	41351653	2	3
1344905	35780662	3	4
1397599	41035131	3	4
1344905	43518883	3	4
1344905	43752252	3	3
1344905	43628412	3	5
1344905	36056770	3	5
1344905	35783787	3	4
1344905	36780685	3	5
1344905	43785049	3	3
1344905	43662621	2	2
1397599	36896348	3	3
1344905	21058886	3	4
1344905	43719126	3	3
1344905	43864108	3	3
1397599	43801898	3	4
1397599	35865142	2	3
1397599	40712331	3	5
1344905	2027013	2	3
1344905	35783782	3	3
443392	1077456	6	9
443392	1075530	2	4
443392	1077132	5	7
443392	1074862	6	9
443392	4095317	4	5
443392	1074874	6	8
443392	1075519	4	4
443392	4110566	6	7
443392	1074868	4	5
443392	1076192	5	8
443392	4094859	4	5
443392	44792338	4	5
443392	4258546	4	8
443392	1075553	3	4
443392	1077362	5	7
443392	36715851	3	7
443392	37396745	3	4
443392	4338760	4	4
443392	4116198	2	2
443392	1075568	5	7
443392	1076217	3	3
443392	1075552	3	4
443392	1074887	4	5
443392	1076166	5	7
443392	37166216	4	7
443392	437805	5	7
443392	1077134	5	7
443392	1074871	5	6
443392	1074865	4	7
443392	1076227	2	2
443392	1075572	5	7
443392	35610249	4	5
443392	1077422	4	6
443392	1075593	2	4
443392	609279	4	5
443392	37311469	4	5
443392	436059	3	3
443392	1075879	4	4
443392	4095590	4	4
443392	40486566	3	5
443392	40486084	4	6
443392	1075583	5	6
443392	4299416	3	7
443392	37166331	4	8
443392	1075055	4	6
443392	608068	2	5
443392	2106968	3	3
443392	4001329	7	7
443392	4081043	3	6
443392	35610248	4	5
443392	1077421	3	6
