concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
36280620	45 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131495	20171001	20991231	
36280621	45 ML Carboplatin 10 MG/ML Injection [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3131496	20171001	20991231	
36280623	45 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3131498	20171001	20991231	
36280628	45 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131503	20171001	20991231	
36280631	45 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3131506	20171001	20991231	
36280635	45 ML Carboplatin 10 MG/ML Injection [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131510	20171001	20991231	
36280639	50 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Hospira]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131514	20171001	20991231	
36280659	50 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Sandoz]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131534	20171001	20991231	
36280712	50 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Hospira] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3131587	20171001	20991231	
36280736	50 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE TEVA] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3131611	20171001	20991231	
36280754	50 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3131629	20171001	20991231	
36280780	50 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Sandoz] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3131655	20171001	20991231	
36280815	60 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3131690	20171001	20991231	
36280817	60 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE KABI] by Fresenius	Drug	RxNorm Extension	Marketed Product	S	OMOP3131692	20171001	20991231	
36280835	60 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3131710	20171001	20991231	
36280842	60 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE HOSPIRA] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3131717	20171001	20991231	
36280844	60 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3131719	20171001	20991231	
36281539	100 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Hospira] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3132414	20171001	20991231	
36281594	100 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE TEVA] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3132469	20171001	20991231	
36281612	100 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Hospira]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3132487	20171001	20991231	
587393	Cisplatin 1 MG/ML Injectable Solution by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3135014	20180802	20991231	
587555	50 ML Cisplatin 1 MG/ML Injection [Cisplatine Sandoz]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3135065	20180802	20991231	
588077	45 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3135070	20180802	20991231	
587513	5 ML Carboplatin 10 MG/ML Injection [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3135094	20180802	20991231	
590115	15 ML Carboplatin 10 MG/ML Injection [Carboplatinum Hikma Farmaceutica] by Eumedica	Drug	RxNorm Extension	Marketed Product	S	OMOP3135240	20180802	20991231	
589967	Cisplatin 1 MG/ML Injection [Cisplatine Sandoz] Box of 5	Drug	RxNorm Extension	Branded Drug Box	S	OMOP3135537	20180802	20991231	
587762	Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ] Box of 5	Drug	RxNorm Extension	Branded Drug Box	S	OMOP3135568	20180802	20991231	
590368	15 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE HOSPIRA] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3135609	20180802	20991231	
589598	10 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Sandoz] Box of 5	Drug	RxNorm Extension	Quant Branded Box	S	OMOP3135640	20180802	20991231	
590245	45 ML Carboplatin 10 MG/ML Injection [Carboplatinum Hikma Farmaceutica] by Eumedica	Drug	RxNorm Extension	Marketed Product	S	OMOP3135796	20180802	20991231	
587925	60 ML Carboplatin 10 MG/ML Injection [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3135937	20180802	20991231	
589481	50 ML Cisplatin 1 MG/ML Injection [Cisplatine Sandoz] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3136141	20180802	20991231	
586841	100 ML Cisplatin 1 MG/ML Injection [Cisplatine Hospira] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3136211	20180802	20991231	
586939	Cisplatin 1 MG/ML Injection [Cisplatine Sandoz]	Drug	RxNorm Extension	Branded Drug	S	OMOP3136333	20180802	20991231	
588689	Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ]	Drug	RxNorm Extension	Branded Drug	S	OMOP3136342	20180802	20991231	
588922	Carboplatin 10 MG/ML Injectable Solution [Carbosin]	Drug	RxNorm Extension	Branded Drug	S	OMOP3136395	20180802	20991231	
588687	5 ML Carboplatin 10 MG/ML Injection [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3136400	20180802	20991231	
589764	Carboplatin Injection [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Branded Drug Form	S	OMOP3136621	20180802	20991231	
590267	60 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3136650	20180802	20991231	
586862	Carboplatin 10 MG/ML Injectable Solution by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3136663	20180802	20991231	
588377	Cisplatin 1 MG/ML Injection by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3136683	20180802	20991231	
589760	15 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3136719	20180802	20991231	
587612	Carboplatin Injectable Solution [Carbosin]	Drug	RxNorm Extension	Branded Drug Form	S	OMOP3136738	20180802	20991231	
589096	60 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3136795	20180802	20991231	
587188	45 ML Carboplatin 10 MG/ML Injection [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3136831	20180802	20991231	
586816	15 ML Carboplatin 10 MG/ML Injection [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3136837	20180802	20991231	
589987	60 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137026	20180802	20991231	
589528	Cisplatin 1 MG/ML Injectable Solution [CISPLATINE MYLAN]	Drug	RxNorm Extension	Branded Drug	S	OMOP3137107	20180802	20991231	
590225	60 ML Carboplatin 10 MG/ML Injection [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137111	20180802	20991231	
587419	50 ML Cisplatin 1 MG/ML Injection [Cisplatine Hospira]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137198	20180802	20991231	
589025	15 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3137248	20180802	20991231	
589628	Cisplatin Injectable Solution [Cisplatine Hospira]	Drug	RxNorm Extension	Branded Drug Form	S	OMOP3137257	20180802	20991231	
588338	15 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3137380	20180802	20991231	
588607	5 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE SANDOZ] Box of 5	Drug	RxNorm Extension	Quant Branded Box	S	OMOP3137688	20180802	20991231	
589908	Cisplatin 1 MG/ML Injection by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3137702	20180802	20991231	
587212	45 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE HOSPIRA] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3137762	20180802	20991231	
588348	10 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Sandoz]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137769	20180802	20991231	
587114	100 ML Cisplatin 1 MG/ML Injection [Cisplatine Hospira]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137866	20180802	20991231	
589046	100 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3137895	20180802	20991231	
588195	15 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3137916	20180802	20991231	
587752	Cisplatin Injectable Solution [Cisplatine Sandoz]	Drug	RxNorm Extension	Branded Drug Form	S	OMOP3137966	20180802	20991231	
590361	10 ML Cisplatin 1 MG/ML Injection [Cisplatine Sandoz] Box of 5 by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3137992	20180802	20991231	
589238	Cisplatin 1 MG/ML Injectable Solution by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3138135	20180802	20991231	
589061	50 ML Cisplatin 1 MG/ML Injection [Cisplatine Hospira] by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3138158	20180802	20991231	
589906	Carboplatin 10 MG/ML Injection [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Branded Drug	S	OMOP3138233	20180802	20991231	
589199	5 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3138272	20180802	20991231	
590398	Carboplatin 10 MG/ML Injection by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP3138378	20180802	20991231	
589432	Cisplatin 1 MG/ML Injection [CISPLATINE MYLAN] by Mylan	Drug	RxNorm Extension	Marketed Product	S	OMOP3138479	20180802	20991231	
587864	5 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica] by Eumedica	Drug	RxNorm Extension	Marketed Product	S	OMOP3138483	20180802	20991231	
589505	45 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3138506	20180802	20991231	
587706	10 ML Cisplatin 1 MG/ML Injectable Solution Box of 5	Drug	RxNorm Extension	Quant Clinical Box	S	OMOP3138513	20180802	20991231	
586794	Cisplatin 1 MG/ML Injectable Solution [Cisplatine Hospira]	Drug	RxNorm Extension	Branded Drug	S	OMOP3138541	20180802	20991231	
589157	5 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE SANDOZ] Box of 5 by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3138578	20180802	20991231	
587701	15 ML Carboplatin 10 MG/ML Injection [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3138609	20180802	20991231	
589717	Cisplatin Injectable Solution [CISPLATINE MYLAN]	Drug	RxNorm Extension	Branded Drug Form	S	OMOP3138634	20180802	20991231	
587332	Carboplatin 10 MG/ML Injectable Solution by Omega	Drug	RxNorm Extension	Marketed Product	S	OMOP3138809	20180802	20991231	
589879	45 ML Carboplatin 10 MG/ML Injectable Solution [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3138872	20180802	20991231	
21166988	45 ML Carboplatin 10 MG/ML Injection	Drug	RxNorm Extension	Quant Clinical Drug	S	OMOP317625	20170824	20991231	
